InstanceType,Duration,PaymentOption,ReservedInstanceOfferingId
m6g.large.search,31536000,PARTIAL_UPFRONT,d1039526-9185-43eb-80e1-7bea15d0c2b4
m6g.xlarge.search,94608000,PARTIAL_UPFRONT,fd5cfa41-da80-4480-8c98-8c93b489edec
m7g.12xlarge.search,94608000,NO_UPFRONT,be836f5f-0fe0-4eba-a603-997261fb3b55
m7g.16xlarge.search,94608000,PARTIAL_UPFRONT,f85defbe-4bfe-4242-8789-d21bfe683f25
m7g.2xlarge.search,31536000,PARTIAL_UPFRONT,fd64d583-0a33-4954-a78a-8eb40ca46786
m7g.4xlarge.search,31536000,ALL_UPFRONT,f8158d5f-27e8-4bd7-acd6-082efac22b25
m7g.8xlarge.search,94608000,ALL_UPFRONT,fb6904b4-3f20-447a-884b-2a63d256e31c
m7g.large.search,94608000,ALL_UPFRONT,a3a2fb1d-3576-4f57-9e3f-3e7e04a0b307
m7g.medium.search,31536000,PARTIAL_UPFRONT,c5b458f8-fcef-4c80-873e-78ea05d2db1e
m7g.xlarge.search,94608000,PARTIAL_UPFRONT,f2ee3851-870c-4df6-93ef-c8921a11aaa7
m7i.12xlarge.search,94608000,PARTIAL_UPFRONT,ee41c930-a7e2-44c0-b856-a96572c8bfb1
m7i.16xlarge.search,31536000,PARTIAL_UPFRONT,ffaa851d-5a8b-4a9b-8f20-35a46c0e0747
m7i.2xlarge.search,94608000,NO_UPFRONT,ec9b18bd-4acd-48b5-92de-b882a04a57a8
m7i.4xlarge.search,94608000,NO_UPFRONT,fde7e85c-cae2-4f80-a132-45c3c9c92bad
m7i.8xlarge.search,31536000,NO_UPFRONT,ffde36b1-3be5-4707-9476-5d5189044a9b
m7i.large.search,94608000,ALL_UPFRONT,cedaf5c7-442a-43c0-8637-9d6625250ae2
m7i.xlarge.search,31536000,NO_UPFRONT,f02f64c3-4981-42c0-899b-2be0a433c85c
or1.12xlarge.search,94608000,ALL_UPFRONT,f93e4077-25fa-46cf-bad8-d12401d90d4e
or1.16xlarge.search,31536000,PARTIAL_UPFRONT,c86ee48e-b2ce-4065-9a25-11f8b0a0b240
or1.2xlarge.search,31536000,NO_UPFRONT,fd8c6fcc-1700-4012-a3b9-2f466f212dba
or1.4xlarge.search,31536000,NO_UPFRONT,ca94f577-f516-4a86-a9b8-606529fa90c0
or1.8xlarge.search,94608000,ALL_UPFRONT,df41c72e-751d-4700-a7dc-ad147cd6a13e
or1.large.search,31536000,PARTIAL_UPFRONT,93d74f69-9195-46e8-b9ec-060c490b1669
or1.medium.search,94608000,ALL_UPFRONT,ed219eb7-24ef-4627-b840-b7a235764d73
or1.xlarge.search,31536000,PARTIAL_UPFRONT,f8385b2d-9c9a-434d-b1b6-e5008bb75aa2
or2.12xlarge.search,31536000,NO_UPFRONT,b8ce31cf-a770-445a-af67-6e88ed23b7ed
or2.16xlarge.search,31536000,PARTIAL_UPFRONT,b1861d20-8361-4759-8a29-eac91c19bdc7
or2.2xlarge.search,31536000,NO_UPFRONT,f933e814-e95c-4db1-8db5-dd90f5c17b91
or2.4xlarge.search,94608000,PARTIAL_UPFRONT,bd5cf181-4989-4269-822d-01b1580c6ab9
or2.8xlarge.search,31536000,PARTIAL_UPFRONT,eb436af1-01f0-4e58-a33d-bcffb5257eac
or2.large.search,31536000,PARTIAL_UPFRONT,9ff68d6b-9326-4234-8598-56be36249a02
or2.medium.search,94608000,PARTIAL_UPFRONT,e22d55a1-0664-4231-bf9d-cd4927ee800e
or2.xlarge.search,31536000,ALL_UPFRONT,e452740a-1cc2-46df-96c4-9fcc5bf26602
r4.16xlarge.search,31536000,PARTIAL_UPFRONT,f39afed9-0acf-4c81-8081-da9228cdfb68
r4.2xlarge.search,31536000,NO_UPFRONT,e84cd5d9-f165-488e-8c62-821323f777a1
r4.4xlarge.search,94608000,ALL_UPFRONT,ebd6bdc0-c256-49d4-9a9b-a2455adde61d
r4.8xlarge.search,94608000,PARTIAL_UPFRONT,fc745fc1-17af-4dc0-be67-951869a3a6ba
r4.large.search,94608000,PARTIAL_UPFRONT,d5ca4c5e-2b03-4b6d-87ea-627d58b4d393
r4.xlarge.search,31536000,NO_UPFRONT,a896b03a-462a-424d-b855-f27bcc21ec3e
r5.12xlarge.search,31536000,ALL_UPFRONT,b54a77e5-7efb-4be9-8bcb-f8c99eccd15a
r5.2xlarge.search,94608000,NO_UPFRONT,f14d5708-ea6d-468e-a6d0-ab88ccb35517
r5.4xlarge.search,31536000,NO_UPFRONT,bcb5f8e2-6add-4e25-b0c5-768439781da3
r5.large.search,94608000,NO_UPFRONT,c6bb6dab-a5da-471c-9eef-60a07d3d79c0
r5.xlarge.search,94608000,NO_UPFRONT,e39674cf-4804-498e-8bd8-b673e1753213
r6g.12xlarge.search,31536000,PARTIAL_UPFRONT,edab9989-4beb-4fe0-aa03-51cd90178df9
r6g.2xlarge.search,31536000,PARTIAL_UPFRONT,f82ec0a0-7f40-4f4c-bd12-c9f49bc1acc8
r6g.4xlarge.search,94608000,ALL_UPFRONT,fee0390d-7672-43c4-bc4b-7664a38cdfcc
r6g.8xlarge.search,31536000,ALL_UPFRONT,aab63827-eb89-4278-819a-c461f723394a
r6g.large.search,31536000,NO_UPFRONT,bf5a43d9-ac99-443c-a34b-87e8cc6e6c02
r6g.xlarge.search,94608000,ALL_UPFRONT,fe7f4e52-01b4-4aea-b1df-dc5f76cac38e
r6gd.12xlarge.search,94608000,PARTIAL_UPFRONT,f2695377-7cad-4454-badf-578ca07f4116
r6gd.16xlarge.search,94608000,NO_UPFRONT,e7af01c7-fb58-43a7-89fb-b968ae353220
r6gd.2xlarge.search,31536000,PARTIAL_UPFRONT,f368c014-994d-4b56-9d4e-0e8f54fbb394
r6gd.4xlarge.search,94608000,NO_UPFRONT,d308c71c-71fd-4867-9fa6-ba39492d21f6
r6gd.8xlarge.search,94608000,NO_UPFRONT,f58a1ad3-a971-4d29-9f16-08df431255f5
r6gd.large.search,94608000,ALL_UPFRONT,9ea4fdb8-8c13-406e-9ecf-ddd7b4f0de80
r6gd.xlarge.search,31536000,ALL_UPFRONT,e9c3f4cb-9703-4303-a59d-d197abb0b151
r7g.12xlarge.search,31536000,PARTIAL_UPFRONT,f3207c8a-65d3-4948-a05e-b7bbe815ac16
r7g.16xlarge.search,31536000,PARTIAL_UPFRONT,e6105248-2d71-4099-bf08-33b080220133
r7g.2xlarge.search,94608000,PARTIAL_UPFRONT,f6b01da2-9083-4e66-8ce6-411e412d7993
r7g.4xlarge.search,94608000,ALL_UPFRONT,b87e7265-a48d-48b8-b0ab-436e8f0c61ef
r7g.8xlarge.search,31536000,ALL_UPFRONT,a146195e-ec69-44de-b199-c2d7a19745b4
r7g.large.search,94608000,ALL_UPFRONT,e73eb857-54de-4baa-a930-c4548d2f6fc0
r7g.medium.search,94608000,NO_UPFRONT,f53a1f30-c7c8-48ff-b9c9-97627616107e
r7g.xlarge.search,31536000,PARTIAL_UPFRONT,fde28631-c08b-469c-8ed9-2b7bfd5eade7
r7gd.12xlarge.search,94608000,ALL_UPFRONT,e635f2cf-321b-408d-a97b-7c10d530fae7
r7gd.16xlarge.search,31536000,ALL_UPFRONT,dc1133af-e6f1-47e7-856c-c354bffd5bcf
r7gd.2xlarge.search,31536000,ALL_UPFRONT,b8af645b-35fb-4445-95be-74261f20b3ec
r7gd.4xlarge.search,31536000,ALL_UPFRONT,f185ac50-a9c3-48ac-922e-e0a30f53535a
r7gd.8xlarge.search,94608000,ALL_UPFRONT,eb7e45a0-6b86-40ac-8129-437b9094805f
r7gd.large.search,31536000,PARTIAL_UPFRONT,f468b3a3-5301-4891-8313-d18e8493f707
r7gd.medium.search,31536000,ALL_UPFRONT,f68e1af6-4a27-4c29-a0b8-e065d4ff80c9
r7gd.xlarge.search,94608000,PARTIAL_UPFRONT,cb579bb2-fbf3-4975-aaef-6fa0497bfbe6
r7i.12xlarge.search,31536000,NO_UPFRONT,cecbae46-6903-493e-ac6e-312b08a13920
r7i.16xlarge.search,31536000,NO_UPFRONT,ed3828e5-4967-412b-9fba-1abba390e435
r7i.2xlarge.search,94608000,PARTIAL_UPFRONT,eb04109d-bc8c-4b6b-b3cf-f81b0d0d9ecd
r7i.4xlarge.search,31536000,ALL_UPFRONT,dc6672c8-acd7-4a6f-acce-fdd1971d363f
r7i.8xlarge.search,94608000,NO_UPFRONT,ea4c6444-0dda-40f7-afc6-0774bcebd375
r7i.large.search,31536000,ALL_UPFRONT,cc01af23-9a8e-4789-8e5c-d23d84b2fc6e
r7i.xlarge.search,94608000,PARTIAL_UPFRONT,fdb2c2aa-87db-4b2a-ba60-6587f107aff5
t3.medium.search,31536000,ALL_UPFRONT,fdf20d2c-35cf-4a8e-8db2-cc893228b207
